The number of selected features is: 150

Num		FeaName		Score
107		alphaticr.aromatic.gap3		0.37535477811579077
108		postivecharger.aromatic.gap4		0.3729191217347677
109		uncharger.postivecharger.gap4		0.36987502805099937
110		alphaticr.postivecharger.gap2		0.3685947154637083
111		aromatic.postivecharger.gap0		0.36523777523184175
112		alphaticr.aromatic.gap1		0.36077514701339686
113		uncharger.postivecharger.gap5		0.3598659434818553
114		negativecharger.aromatic.gap2		0.3589830550814306
115		uncharger.aromatic.gap4		0.35527788533921106
116		aromatic.alphaticr.gap4		0.352826651570649
117		aromatic.postivecharger.gap3		0.35158015468370596
118		postivecharger.postivecharger.gap5		0.3509800139767509
119		negativecharger.uncharger.gap0		0.35075805917404035
120		postivecharger.aromatic.gap0		0.34498579395695195
121		aromatic.negativecharger.gap3		0.34415568727989765
122		postivecharger.postivecharger.gap3		0.34345737296959666
123		negativecharger.uncharger.gap1		0.3422932553894357
124		alphaticr.aromatic.gap2		0.3403716860307431
125		postivecharger.negativecharger.gap5		0.3397341159658306
126		uncharger.postivecharger.gap1		0.33731480959165544
127		alphaticr.aromatic.gap4		0.33719493007390644
128		alphaticr.aromatic.gap5		0.3366085657623294
129		aromatic.aromatic.gap2		0.3354576481264002
130		uncharger.negativecharger.gap1		0.33452398715855863
131		postivecharger.uncharger.gap5		0.3339216960086062
132		alphaticr.aromatic.gap0		0.33210208413842957
133		postivecharger.aromatic.gap3		0.32921761648309944
134		aromatic.postivecharger.gap2		0.32795736248409196
135		uncharger.aromatic.gap2		0.32389280610874954
136		negativecharger.negativecharger.gap1		0.3193223927473344
137		aromatic.postivecharger.gap1		0.3182211101183729
138		aromatic.uncharger.gap4		0.31783828720800195
139		aromatic.alphaticr.gap5		0.315846184681421
140		aromatic.alphaticr.gap1		0.3149344657006505
141		uncharger.aromatic.gap5		0.3126686958957987
142		uncharger.negativecharger.gap5		0.31236466127068707
143		postivecharger.negativecharger.gap2		0.3107792200847133
144		negativecharger.negativecharger.gap3		0.3074481569142182
145		negativecharger.uncharger.gap3		0.3058992868761519
146		negativecharger.uncharger.gap5		0.30213800982595584
147		aromatic.alphaticr.gap2		0.2977202542289998
148		postivecharger.aromatic.gap5		0.2917637352260606
149		aromatic.alphaticr.gap0		0.2806194215290005
150		aromatic.alphaticr.gap3		0.28009540824111945
